City,Latitude,Longitude,Population1,Population
Rudrapur,28.9706892,79.3973178,14.0857,140857
Chitradurga,14.2266443,76.4005122,14.0206,140206
Kumbakonam,10.9645549,79.3717304,14.0156,140156
Dibrugarh,27.4844597,94.9019447,13.9565,139565
Kolar,13.1367201,78.1337246,13.8462,138462
Chhindwara,22.139831,78.809645,13.8291,138291
Bankura,23.1319542,87.2073972,13.7386,137386
Mandya,12.5238888,76.8961961,13.7358,137358
Dehri,24.9258862,84.1728723,13.7231,137231
Raigarh,22.5,83.5,13.7126,137126
Madanapalle,13.5732597,78.4791464,13.6414,136414
Nalgonda,16.8579636,79.2174935,13.5744,135744
Hathras,27.5732433,78.1117387,13.5594,135594
Malerkotla,30.5371035,75.9088402,13.5424,135424
Siwan,26.1310043,84.3912566,13.5066,135066
Chhattarpur,29.0327946,79.3990875,13.3464,133464
Hassan,13.0070817,76.0992703,13.3436,133436
Lalitpur,24.7003848,78.5186676,13.3305,133305
Gondiya,21.1456285,80.2683867,13.2813,132813
North Barrackpur,22.9421175,88.4599316,13.2806,132806
Bettiah,26.7910727,84.5601068,13.2209,132209
Palakkad,10.7873691,76.4742172,13.0955,130955
Rajapalayam,9.4031584,77.5182644,13.0442,130442
Botad,22.1686,71.6685,13.0327,130327
Modinagar,28.8261624,77.541656,13.0325,130325
Deoria,26.4238472,83.7627317,12.9479,129479
Raniganj,25.7992923,82.0632794,12.9441,129441
Palwal,28.1769589,77.373112,12.873,128730
Khanna,25.5656914,80.0634887,12.8137,128137
Neemuch,24.6305517,75.1829791,12.8095,128095
Pilibhit,28.6908066,79.8310725,12.7988,127988
Mustafabad,31.2521717,74.4202195,12.7167,127167
Hardoi,27.3385767,80.0975265,12.6851,126851
Guntakal,15.1196507,77.4552903,12.627,126270
Pithampur,22.6105576,75.6790283,12.62,126200
Motihari,26.669512,84.9574106,12.6158,126158
Dhaulpur,26.7010642,77.896749,12.5989,125989
Srikakulam,18.320022,83.9160772,12.5939,125939
Nabadwip,23.3889007,88.372439,12.5543,125543
Patan,23.7740573,71.6837347,12.5497,125497
Jagdalpur,19.0870758,82.0235715,12.5463,125463
Udupi,13.3419169,74.7473232,12.5306,125306
Basirhat,22.6611962,88.8660215,12.5254,125254
Damoh,23.75,79.583333,12.5101,125101
Halisahar,22.9322475,88.4248587,12.4939,124939
Jagadhri,30.1532045,77.3011957,12.4894,124894
Rishra,22.7247059,88.3434353,12.4577,124577
Kurichi,11.2359695,79.6307838,12.3667,123667
Dimapur,25.911744,93.721703,12.2834,122834
Palanpur,24.1709794,72.4366375,12.2344,122344
